"Zeitstempel","An was denken Sie, wenn Sie den Begriff Nachhaltigkeit hören? ","Ist es für Sie wichtig Ihren Wohnraum und ihre Einrichtung nachhaltig zu gestalten?","Ist Ihnen der Begriff Upcycling im Bereich Wohnen bekannt?","Haben Sie in der Vergangenheit alte oder nutzlos gewordene Möbel, sowie Gegenstände selber aufgewertet, um ihre Lebensdauer zu verlängern?","Hätten Sie Interesse, an einem Upcycling-Workshop teilzunehmen?","Wie haben Sie bisher Informationen darüber erhalten, wie man nachhaltig ""Wohnen"" kann?","Haben Sie in der Vergangenheit gebrauchte Möbel (Second-Hand-Möbel) gekauft und verwendet?","Sind Ihnen Läden oder Märkte bekannt, in denen man nachhaltige Möbel, sowie gebrauchte Möbel kaufen könnte?","Wären Sie dafür, den Ressourcenverbrauch von Einrichtungsgegenständen auf den Produkten transparent zu machen?","Zu welchem Thema im Bereich Wohnen würden Sie sich ein Angebot in Gießen wünschen (z.B. Informationen, Workshops)?","Ist es für Sie wichtig in der Zukunft, im Lebensbereich ""Wohnen"" Nachhaltigkeit zu integrieren ?"
"2024/01/31 4:14:36 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","2","Ja","Ja","","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","","","1"
"2024/01/31 4:16:56 PM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","2","Ja","Ja","","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","","","1"
"2024/01/31 4:23:47 PM MEZ","Klimaschutz;Konsum und Produktion","3","Ja","Nein","","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","","","2"
"2024/02/01 11:05:34 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur","3","Nein","Ja","Nein","Bekannten-, Freundeskreis","Nein","Ja","","","2"
"2024/02/01 11:14:01 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit","3","Nein","Ja","Nein","Bekannten-, Freundeskreis","Nein","Ja","Ja","","2"
"2024/02/01 11:20:15 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit;Hochwertige Bildung","3","Ja","Nein","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","","2"
"2024/02/01 11:26:30 AM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Ja","Ja","Soziale Medien;Printmedien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Workshop dazu wie man seinen Alltag nachhaltiger gestalten kann","2"
"2024/02/01 11:31:42 AM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Ja","Ja","Soziale Medien","Ja","Ja","Ja","","2"
"2024/02/01 11:38:38 AM MEZ","Klimaschutz;Konsum und Produktion;Gesundheit und Wohlergehen","2","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Nein","Ja","Ja","Workshops","1"
"2024/02/01 11:40:36 AM MEZ","Klimaschutz;Konsum und Produktion","3","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","","3"
"2024/02/01 11:40:46 AM MEZ","Klimaschutz;Konsum und Produktion;Industrie und Infrastruktur;Wirtschaft und Arbeit","2","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","Upcycling von Möbeln","1"
"2024/02/01 11:41:31 AM MEZ","Klimaschutz;Konsum und Produktion;Wirtschaft und Arbeit;Gesundheit und Wohlergehen;Hochwertige Bildung","2","Ja","Ja","Nein","Soziale Medien;Bekannten-, Freundeskreis","Ja","Ja","Ja","-","2"
"2024/02/01 11:43:07 AM MEZ","Klimaschutz;Konsum und Produktion","2","Ja","Nein","Ja","Soziale Medien","Nein","Nein","Ja","alte Möbel aufwerten ","1"
"2024/02/01 11:47:01 AM MEZ","Klimaschutz;Konsum und Produktion;Wirtschaft und Arbeit;Sonstiges","2","Ja","Ja","Ja","Soziale Medien;Bekannten-, Freundeskreis","Ja","Nein","Ja","Wie finde ich gute Auswahl von alten Möbel, z.b Ebay, Warenhäuser usw.","1"
